imdbId,userRating,value
1790809,3.5,2.464222294701747
3896198,4.0,2.382989417989418
4972582,0.5,2.0780028429282162
3401882,4.5,1.7037037037037037
4116284,3.5,2.4813422445001394
4425200,4.0,2.4722222222222223
5462602,4.0,2.218423551756885
3874544,4.5,2.4297549429128376
6184894,4.0,1.7037037037037037
6438918,4.5,1.7037037037037037
6648926,4.0,1.7037037037037037
493405,4.0,2.538981678907052
1412528,3.0,2.247742767643265
1469304,4.0,2.27336860670194
2334871,4.0,2.27336860670194
5893332,2.0,2.419135802469136
3155328,3.0,1.7037037037037037
3606752,3.0,2.442982456140351
6333064,4.0,2.15625
4799050,4.5,2.247742767643265
3469046,4.0,2.5956558061821218
6878486,2.5,1.7037037037037037
2417712,4.0,1.7037037037037037
4481514,3.5,2.3738977072310408
7044010,1.5,1.7037037037037037
4649466,4.0,2.5198412698412698
6254796,4.0,1.7037037037037037
7291268,3.5,2.15625
7057376,3.5,1.7037037037037037
6359956,3.5,1.7037037037037037
7214762,4.5,2.15625
7539884,3.5,1.7037037037037037
6892388,1.5,1.7037037037037037
7193448,2.5,1.7037037037037037
7738550,2.5,1.7037037037037037
7807952,3.5,1.7037037037037037
7808620,3.5,1.7037037037037037
7379330,4.5,1.7037037037037037
5783956,3.5,1.7037037037037037
